;;;;

					1001				;Extremamente Básico;Iniciante;
					159.822				;1

					1002				;Área do Círculo;Iniciante;
					111.275				;1

					1003				;Soma Simples;Iniciante;
					112.909				;1

					1004				;Produto Simples;Iniciante;
					107.948				;1

					1005				;Média 1;Iniciante;
					92.397				;1

					1006				;Média 2;Iniciante;
					87.487				;1

					1007				;Diferença;Iniciante;
					92.886				;1

					1008				;Salário;Iniciante;
					85.954				;1

					1009				;Salário com Bônus;Iniciante;
					75.901				;1

					1010				;Cálculo Simples;Iniciante;
					73.269				;1

					1011				;Esfera;Iniciante;
					67.483				;1

					1012				;Área;Iniciante;
					65.933				;1

					1013				;O Maior;Iniciante;
					62.865				;1

					1014				;Consumo;Iniciante;
					64.690				;1

					1015				;Distância Entre Dois Pontos;Iniciante;
					64.127				;1

					1016				;Distância;Iniciante;
					57.858				;1

					1017				;Gasto de Combustível;Iniciante;
					59.550				;1

					1018				;Cédulas;Iniciante;
					54.094				;1

					1019				;Conversão de Tempo;Iniciante;
					56.100				;1

					1020				;Idade em Dias;Iniciante;
					56.495				;1

					1021				;Notas e Moedas;Iniciante;
					34.145				;1

					1022				;TDA Racional;Estruturas e Bibliotecas;
					4.798				;2

					1023				;Estiagem;Estruturas e Bibliotecas;
					2.821				;3

					1024				;Criptografia;Strings;
					10.140				;2

					1025				;Onde está o Mármore?;Estruturas e Bibliotecas;
					5.024				;2

					1026				;Carrega ou não Carrega?;Ad-Hoc;
					8.379				;2

					1027				;Onda Crítica;Paradigmas;
					378				;7

					1028				;Figurinhas;Matemática;
					7.654				;2

					1029				;Fibonacci, Quantas Chamadas?;Paradigmas;
					6.930				;2

					1030				;A Lenda de Flavious Josephus;Ad-Hoc;
					5.095				;3

					1031				;Crise de Energia;Ad-Hoc;
					2.007				;4

					1032				;O Primo de Josephus;Ad-Hoc;
					1.501				;4

					1033				;Quantas Chamadas Recursivas?;Paradigmas;
					469				;4

					1034				;Festival de Estátuas de Gelo;Paradigmas;
					2.322				;5

					1035				;Teste de Seleção 1;Iniciante;
					53.382				;1

					1036				;Fórmula de Bhaskara;Iniciante;
					45.448				;1

					1037				;Intervalo;Iniciante;
					44.804				;1

					1038				;Lanche;Iniciante;
					52.265				;1

					1039				;Flores de Fogo;Geometria Computacional;
					3.679				;2

					1040				;Média 3;Iniciante;
					34.562				;1

					1041				;Coordenadas de um Ponto;Iniciante;
					42.836				;1

					1042				;Sort Simples;Iniciante;
					40.481				;1

					1043				;Triângulo;Iniciante;
					35.794				;1

					1044				;Múltiplos;Iniciante;
					42.234				;1

					1045				;Tipos de Triângulos;Iniciante;
					26.993				;1

					1046				;Tempo de Jogo;Iniciante;
					33.106				;1

					1047				;Tempo de Jogo com Minutos;Iniciante;
					24.320				;1

					1048				;Aumento de Salário;Iniciante;
					32.210				;1

					1049				;Animal;Iniciante;
					25.634				;1

					1050				;DDD;Iniciante;
					37.353				;1

					1051				;Imposto de Renda;Iniciante;
					25.234				;1

					1052				;Mês;Iniciante;
					33.704				;1

					1053				;Desenho Contínuo;Grafos;
					26				;7

					1054				;Sapo Dinâmico;Paradigmas;
					402				;5

					1055				;Soma Permutada Elegante;Paradigmas;
					440				;4
